,season,teamName,playerName,label,PTS
13,2020,Atletico Madrid,Ricard Sánchez,Bad,86
61,2020,Atletico Madrid,J. Giménez,Good,86
28,2020,Real Madrid,Miguel Gutiérrez,Bad,84
11,2020,Sevilla,Aleix Vidal,Bad,77
55,2020,Sevilla,J. Koundé,Good,77
14,2020,Real Sociedad,Andoni Gorosabel,Normal,62
19,2020,Real Sociedad,Nacho Monreal,Normal,62
60,2020,Real Sociedad,Joseba Zaldúa,Bad,62
31,2020,Real Betis,Aitor Ruibal,Normal,61
23,2020,Villarreal,Raúl Albiol,Good,58
52,2020,Villarreal,Alberto Moreno,Bad,58
4,2020,Athletic Club,Unai Núñez,Good,46
57,2020,Granada CF,K. Fobi,Bad,46
8,2020,Cadiz,M. Mauro,Normal,44
40,2020,Osasuna,Oier,Normal,44
17,2020,Valencia,José Gayà,Normal,43
27,2020,Valencia,Gabriel Paulista,Good,43
56,2020,Valencia,Hugo Guillamón,Good,43
51,2020,Levante,Toño,Bad,41
2,2020,Elche,J. Mojica,Bad,36
36,2020,Huesca,Javi Galán,Normal,34
44,2020,Huesca,D. Siovas,Normal,34
34,2020,Valladolid,Javi Moyano,Bad,31
59,2020,Eibar,Rafa Soares,Bad,30
63,2020,Eibar,E. Burgos,Good,30
0,2021,Real Madrid,Miguel Gutiérrez,Good,86
24,2021,Real Madrid,Éder Militão,Normal,86
43,2021,Barcelona,Piqué,Good,73
21,2021,Atletico Madrid,Šime Vrsaljko,Bad,71
30,2021,Sevilla,J. Koundé,Good,70
46,2021,Sevilla,Diego Carlos,Good,70
9,2021,Real Betis,Kike Hermoso,Good,65
37,2021,Real Betis,Marc Bartra,Good,65
38,2021,Real Betis,Aitor Ruibal,Bad,65
47,2021,Real Betis,G. Pezzella,Good,65
62,2021,Real Betis,Edgar González,Good,65
1,2021,Real Sociedad,Andoni Gorosabel,Normal,62
32,2021,Villarreal,Raúl Albiol,Good,59
35,2021,Villarreal,A. Mandi,Good,59
10,2021,Athletic Club,De Marcos,Normal,55
26,2021,Athletic Club,Íñigo Martínez,Normal,55
39,2021,Athletic Club,Unai Núñez,Bad,55
5,2021,Celta Vigo,J. Murillo,Good,46
48,2021,Espanyol,Aleix Vidal,Normal,42
49,2021,Rayo Vallecano,Fran García,Normal,42
66,2021,Rayo Vallecano,Kévin Rodrigues,Bad,42
64,2021,Cadiz,Juan Cala,Bad,39
29,2021,Granada CF,Raúl Torrente,Normal,38
42,2021,Levante,Coke,Bad,35
54,2021,Alaves,Ximo Navarro,Normal,31
12,2022,Real Madrid,Miguel Gutiérrez,Normal,78
6,2022,Atletico Madrid,M. Doherty,Bad,77
18,2022,Real Sociedad,Joseba Zaldúa,Bad,71
33,2022,Real Sociedad,Álex Sola,Bad,71
3,2022,Villarreal,M. Fall,Bad,64
7,2022,Osasuna,Jorge Herrando,Bad,53
58,2022,Osasuna,David García,Normal,53
16,2022,Athletic Club,De Marcos,Normal,51
15,2022,Mallorca,M. Valjent,Normal,50
45,2022,Mallorca,Raíllo,Normal,50
22,2022,Rayo Vallecano,Mario Suárez,Bad,49
41,2022,Girona,Arnau Martínez,Normal,49
53,2022,Celta Vigo,Carlos Domínguez,Bad,43
65,2022,Valencia,Gabriel Paulista,Good,42
25,2022,Almeria,Álex Pozo,Normal,41
20,2022,Espanyol,Simo,Bad,37
50,2022,Elche,José Ángel Carmona,Bad,25
